STATEFP,COUNTYFP,TRACTCE,GEOID,NAME,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,UATYPE20
"08","027","970102","08027970102","9701.02",Census Tract 9701.02,G5020,S,871112279,455018,"+38.0543210","-105.2397223",
"08","027","970101","08027970101","9701.01",Census Tract 9701.01,G5020,S,1041919696,2909132,"+38.0949576","-105.5001027",
"08","001","008533","08001008533","85.33",Census Tract 85.33,G5020,S,3353029,36543,"+39.8922024","-104.9538147",U
"08","001","008534","08001008534","85.34",Census Tract 85.34,G5020,S,2341349,28063,"+39.8937323","-104.9317964",U
"08","001","008802","08001008802","88.02",Census Tract 88.02,G5020,S,12056169,3131932,"+39.8520583","-104.9127481",U
"08","001","008603","08001008603","86.03",Census Tract 86.03,G5020,S,1862820,57731,"+39.9926025","-104.8202075",
"08","001","008604","08001008604","86.04",Census Tract 86.04,G5020,S,2176262,5539,"+39.9947904","-104.8049505",U
"08","001","008605","08001008605","86.05",Census Tract 86.05,G5020,S,1982546,0,"+39.9796220","-104.8052914",U
"08","001","008606","08001008606","86.06",Census Tract 86.06,G5020,S,3837625,180213,"+39.9784872","-104.8279264",U
"08","031","008388","08031008388","83.88",Census Tract 83.88,G5020,S,8813336,0,"+39.7859681","-104.7914653",U
"08","123","001005","08123001005","10.05",Census Tract 10.05,G5020,S,8037176,152576,"+40.3726659","-104.7223000",
"08","001","009309","08001009309","93.09",Census Tract 93.09,G5020,S,1280592,0,"+39.8418509","-105.0199563",U
"08","001","008705","08001008705","87.05",Census Tract 87.05,G5020,S,2441945,0,"+39.8197927","-104.9217541",U
"08","001","008901","08001008901","89.01",Census Tract 89.01,G5020,S,7948891,566403,"+39.8104901","-104.9435087",U
"08","001","009321","08001009321","93.21",Census Tract 93.21,G5020,S,1309071,0,"+39.8780218","-105.0202944",U
"08","001","008402","08001008402","84.02",Census Tract 84.02,G5020,S,1736030760,17054265,"+39.8772581","-104.0658666",
"08","001","007900","08001007900","79",Census Tract 79,G5020,S,1637884,338,"+39.7483494","-104.8734620",U
"08","001","008401","08001008401","84.01",Census Tract 84.01,G5020,S,497963981,3673373,"+39.8695550","-104.5174306",
"08","001","009103","08001009103","91.03",Census Tract 91.03,G5020,S,4212495,929220,"+39.8749583","-104.9266127",U
"08","001","009408","08001009408","94.08",Census Tract 94.08,G5020,S,3815938,50182,"+39.9091796","-105.0361172",U
"08","001","009606","08001009606","96.06",Census Tract 96.06,G5020,S,1859181,233302,"+39.8159970","-105.0276092",U
"08","001","988700","08001988700","9887",Census Tract 9887,G5020,S,67648980,1117152,"+39.8353129","-104.8409337",U
"08","001","009001","08001009001","90.01",Census Tract 90.01,G5020,S,2109475,0,"+39.8528317","-104.9708005",U
"08","015","000403","08015000403","4.03",Census Tract 4.03,G5020,S,926251110,2553678,"+38.7861536","-106.2221531",
"08","015","000404","08015000404","4.04",Census Tract 4.04,G5020,S,26306345,235294,"+38.8391977","-106.1519429",
